crime_id,crime_name
1,贩卖毒品罪
2,贩卖毒品罪
3,贩卖毒品罪
4,贩卖毒品罪
5,贩卖毒品罪
6,贩卖毒品罪
7,贩卖毒品罪，容留他人吸毒罪
8,贩卖毒品罪
9,贩卖毒品罪
10,贩卖毒品罪
11,贩卖毒品罪
12,贩卖毒品罪
13,贩卖毒品罪
14,贩卖毒品罪，容留他人吸毒品罪
15,贩卖毒品罪
16,贩卖毒品罪
17,贩卖毒品罪
18,贩卖毒品罪，容留他人吸毒罪
19,贩卖毒品罪
20,贩卖毒品罪
21,贩卖毒品罪
22,贩卖毒品罪
23,贩卖毒品罪
24,贩卖毒品罪
25,贩卖毒品罪
26,贩卖毒品罪
27,贩卖毒品罪
28,容留他人吸毒罪，贩卖毒品罪
29,非法持有毒品罪
30,运输毒品罪
31,贩卖毒品罪
32,贩卖毒品罪
33,贩卖毒品罪，容留他人吸毒罪
34,贩卖毒品罪
35,贩卖毒品罪，盗窃罪
36,贩卖毒品罪
37,贩卖毒品罪
38,贩卖毒品罪
39,容留他人吸毒罪
40,贩卖毒品罪
41,贩卖毒品罪
42,贩卖毒品罪，故意伤害罪
43,贩卖毒品罪
44,贩卖毒品罪
45,贩卖毒品罪
46,贩卖毒品罪
47,贩卖毒品罪
48,运输毒品罪
49,贩卖毒品罪
50,贩卖毒品罪
51,贩卖毒品罪
52,贩卖毒品罪
53,贩卖毒品罪
54,贩卖毒品罪
55,贩卖毒品罪
56,贩卖毒品罪
57,贩卖毒品罪
58,贩卖毒品罪，容留他人吸毒罪
59,贩卖毒品罪
60,贩卖毒品罪
61,贩卖毒品罪
62,贩卖毒品罪
63,贩卖毒品罪
64,贩卖毒品罪
65,贩卖毒品罪
66,贩卖毒品罪
67,贩卖毒品罪
68,贩卖毒品罪
69,贩卖毒品罪
70,贩卖毒品罪
71,贩卖毒品罪
72,贩卖毒品罪
73,贩卖毒品罪
74,贩卖毒品罪
75,贩卖毒品罪
76,贩卖毒品罪
77,贩卖毒品罪
78,贩卖毒品罪
79,贩卖、运输毒品罪
80,贩卖、运输毒品罪
81,贩卖毒品罪，容留他人吸毒罪
82,贩卖、运输毒品罪，容留他人吸毒罪
83,贩卖、运输毒品罪
84,贩卖毒品罪
85,贩卖毒品罪
86,贩卖毒品罪
87,贩卖毒品罪
88,贩卖毒品罪
89,贩卖毒品罪
90,贩卖毒品罪
91,贩卖毒品罪
92,贩卖、运输毒品罪
93,贩卖毒品罪
94,贩卖毒品罪
95,贩卖毒品罪
96,贩卖毒品罪
97,贩卖毒品罪
98,贩卖毒品罪
99,贩卖毒品罪
100,贩卖毒品罪
101,贩卖毒品罪
102,贩卖毒品罪
103,贩卖毒品罪
104,贩卖毒品罪
105,贩卖毒品罪
106,贩卖毒品罪，容留他人吸毒罪
107,贩卖毒品罪
108,贩卖毒品罪
109,贩卖毒品罪
110,贩卖毒品罪
111,贩卖毒品罪，盗窃罪
112,贩卖毒品罪
113,贩卖毒品罪
114,贩卖毒品罪
115,贩卖毒品罪，容留他人吸毒罪
116,运输毒品罪
117,非法持有毒品罪
118,贩卖毒品罪
119,贩卖毒品罪
120,贩卖毒品罪
121,贩卖毒品罪
122,贩卖毒品罪
123,贩卖毒品罪
124,贩卖毒品罪
125,贩卖毒品罪
126,容留他人吸毒罪，贩卖毒品罪
127,贩卖毒品罪
128,贩卖毒品罪
129,贩卖毒品罪
130,运输毒品罪
131,贩卖毒品罪
132,贩卖毒品罪
133,贩卖毒品罪
134,贩卖毒品罪
135,贩卖毒品罪
136,贩卖毒品罪
137,贩卖毒品罪
138,贩卖毒品罪
139,贩卖毒品罪
140,贩卖毒品罪
141,贩卖毒品罪
142,贩卖毒品罪
143,贩卖毒品罪
144,贩卖毒品罪
145,贩卖毒品罪
146,贩卖毒品罪
147,贩卖毒品罪
148,贩卖毒品罪
149,贩卖毒品罪
150,贩卖毒品罪，容留他人吸毒罪
151,贩卖毒品罪
152,贩卖毒品罪
153,贩卖毒品罪
154,容留他人吸毒罪
155,容留他人吸毒罪
156,贩卖毒品罪
157,贩卖毒品罪
158,贩卖毒品罪，容留他人吸毒罪
159,容留他人吸毒罪
160,容留他人吸毒罪
161,容留他人吸毒罪
162,贩卖毒品罪，容留他人吸毒罪
163,贩卖毒品罪
164,贩卖毒品罪
165,容留他人吸毒罪
166,贩卖毒品罪，容留他人吸毒罪
167,容留他人吸毒罪
168,贩卖毒品罪
169,贩卖毒品罪
170,贩卖毒品罪
171,容留他人吸毒罪
172,贩卖毒品罪
173,贩卖毒品罪
