question,class
nCase发生在什么地点,0
nCase在哪里,0
nCase在哪里发生,0
nCase发生在哪里,0
于何处发生了nCase,0
在何处发生了nCase,0
在哪里发生了nCase,0
在什么地点发生了nCase,0
于什么地点发生了nCase,0
nCase在哪,0
nCase在何处,0
nCase于何处,0
nCase位于何处,0
nCase位于哪,0
nCase位置在哪里,0
nCase什么时候,1
nCase什么时间,1
nCase的时间,1
nCase时间,1
nCase何时,1
nCase在什么时候,1
nCase于何时,1
nCase的日期,1
nCase的日期是什么时候,1
nCase的日期是哪天,1
nCase哪年,1
nCase是哪年,1
nCase哪一年的案件,1
nCase是哪一年的案件,1
nCase什么时候的案件,1
nCase什么时间的案件,1
nCase何时的案件,1
nCase于何时发生的案件,1
nCase于何时发生,1
nCase哪一年发生的案件,1
nCase与哪年发生的案件,1
哪一年发生了nCase,1
nCase多少人,2
nCase涉案人数多少,2
nCase几个人,2
nCase几人,2
nCase涉案的有几个人,2
nCase有多少人,2
nCase几个人被判,2
nCase多少人被判,2
nCase人数,2
nCase几人被判,2
nCase几人涉案,2
nCase多少人涉案,2
nCase的法院是什么,3
nCase法院,3
nCase的法院是哪个,3
nCase哪个法院判的,3
nCase是什么法院判的,3
nCase什么法院,3
nCase第一被告,4
nCase第一被告是谁,4
nCase第一被告是哪个人,4
nCase谁是第一被告,4
nCase哪个人是第一被告,4
nCase第一被告姓名,4
nCase第一被告的名字是什么,4
nCase第一被告姓名是什么,4
nCase第一被告名字,4
nCase第一被告叫什么名字,4
nCase第一被告名字叫什么,4
nCase最小年龄,5
nCase最小的年龄是多少,5
nCase最小的年龄是几,5
nCase最小年龄是多少岁,5
nCase最小的人几岁,5
nCase最年轻的人才几岁,5
nCase最年轻的人才只有几岁,5
nCase最小的人是几岁,5
nCase最年轻的人是多少岁,5
nCase最年轻的人刚刚只有几岁,5
nCase最小生日什么时候,6
nCase最小的生日是哪天,6
nCase最年轻的生日是哪天,6
nCase最年轻的生日什么时候,6
nCase最年轻的生日何时,6
nCase最小的生日何时,6
nCase最小的生日是哪天,6
nCase最年轻的生日是何时,6
nCase是什么罪,7
nCase被判了什么罪,7
nCase罪是什么,7
nCase被判了哪个罪,7
nCase罪行是什么,7
nCase罪行,7
nCase罪,7
nCase刑,8
nCase刑罚,8
nCase被判了什么刑,8
nCase被判了什么刑罚,8
nCase刑罚是什么,8
nCase刑是什么,8
nCase刑罚的名字是什么,8
nCase刑罚叫什么名字,8
nCase刑叫什么名字,8
nCase刑的名字是什么,8
nCase被判了哪个刑,8
nCase被判了哪个刑罚,8
nCase刑期,9
nCase刑期是多久,9
nCase被判了多久,9
nCase被判了多长时间,9
nCase罚金,10
nCase钱,10
nCase被罚了多少钱,10
nCase罚金是多少,10
nCase罚金是多少钱,10
nCase罚金多少钱,10
nCase多少钱,10
nCase几钱,10
nCase罚了多少钱,10
nCase毒品,11
nCase毒品名字,11
nCase毒品是什么,11
nCase毒品叫什么,11
nCase毒品种类,11
nCase毒品种类名字,11
nCase毒品种类是什么,11
nCase毒品种类叫什么,11
nCase毒品是哪个,11
nCase是哪个毒品,11
nCase是何种毒品,11
nCase哪个毒,11
nCase哪个毒品,11
nCase什么毒,11
nCase毒的种类,11
nCase毒品的种类,11
nPerson案件,12
nPerson什么案件,12
nPerson哪个案件,12
nPerson案件名字,12
nPerson涉案什么,12
nPerson什么案子,12
nPerson哪个案子,12
nPerson的案件是什么,12
nPerson涉及哪个案件,12
nPerson涉及哪个案子,12
nPerson是哪个案件的第一被告,12
nPerson是什么案件的第一被告,12
nPerson是哪个案子的第一被告,12
nPerson是什么案子的第一被告,12
nYear案件数量,13
nYear多少起案件,13
nYear案件有多少,13
nYear有多少起案件,13
nYear案子有几个,13
nYear案件发生了几起,13
nYear多少案件,13
nYear多少案子,13
nLocation案件数量,13
nLocation多少起案件,13
nLocation案件有多少,13
nLocation有多少起案件,13
nLocation案子有几个,13
nLocation案件发生了几起,13
nLocation多少案件,13
nLocation多少案子,13
nYearnLocation案件数量,13
nYearnLocation多少起案件,13
nYearnLocation案件有多少,13
nYearnLocation有多少起案件,13
nYearnLocation案子有几个,13
nYearnLocation案件发生了几起,13
nYearnLocation多少案件,13
nYearnLocation多少案子,13
nYear案件中最小年龄,14
nYear案件中最小的年龄是多少,14
nYear案件中最小的年龄是几,14
nYear案件中最小年龄是多少岁,14
nYear案件中最小的人几岁,14
nYear案件中最年轻的人才几岁,14
nYear案件中最小的人是几岁,14
nYear案件中最年轻的人是多少岁,14
nLocation案件中最小年龄,14
nLocation案件中最小的年龄是多少,14
nLocation案件中最小的年龄是几,14
nLocation案件中最小年龄是多少岁,14
nLocation案件中最小的人几岁,14
nLocation案件中最年轻的人才几岁,14
nLocation案件中最小的人是几岁,14
nLocation案件中最年轻的人是多少岁,14
nYearnLocation案件中最小年龄,14
nYearnLocation案件中最小的年龄是多少,14
nYearnLocation案件中最小的年龄是几,14
nYearnLocation案件中最小年龄是多少岁,14
nYearnLocation案件中最小的人几岁,14
nYearnLocation案件中最年轻的人才几岁,14
nYearnLocation案件中最小的人是几岁,14
nYearnLocation案件中最年轻的人是多少岁,14
nYear最高罚金,15
nYear最高钱,15
nYear最高被罚了多少钱,15
nYear最高罚金是多少,15
nYear最高罚金是多少钱,15
nYear最高罚金多少钱,15
nYear最高多少钱,15
nYear最高几钱,15
nYear最高罚了多少钱,15
nLocation最高罚金,15
nLocation最高钱,15
nLocation最高被罚了多少钱,15
nLocation最高罚金是多少,15
nLocation最高罚金是多少钱,15
nLocation最高罚金多少钱,15
nLocation最高多少钱,15
nLocation最高几钱,15
nLocation最高罚了多少钱,15
nYearnLocation最高罚金,15
nYearnLocation最高钱,15
nYearnLocation最高被罚了多少钱,15
nYearnLocation最高罚金是多少,15
nYearnLocation最高罚金是多少钱,15
nYearnLocation最高罚金多少钱,15
nYearnLocation最高多少钱,15
nYearnLocation最高几钱,15
nYearnLocation最高罚了多少钱,15
nYear总罚金,16
nYear总钱,16
nYear总被罚了多少钱,16
nYear总罚金是多少,16
nYear总罚金是多少钱,16
nYear总罚金多少钱,16
nYear总多少钱,16
nYear总几钱,16
nYear总罚了多少钱,16
nYear总共罚了多少钱,16
nLocation总罚金,16
nLocation总钱,16
nLocation总被罚了多少钱,16
nLocation总罚金是多少,16
nLocation总罚金是多少钱,16
nLocation总罚金多少钱,16
nLocation总多少钱,16
nLocation总几钱,16
nLocation总罚了多少钱,16
nLocation总共罚了多少钱,16
nYearnLocation总罚金,16
nYearnLocation总钱,16
nYearnLocation总被罚了多少钱,16
nYearnLocation总罚金是多少,16
nYearnLocation总罚金是多少钱,16
nYearnLocation总罚金多少钱,16
nYearnLocation总多少钱,16
nYearnLocation总几钱,16
nYearnLocation总罚了多少钱,16
nYearnLocation总共罚了多少钱,16
nYear总共多少人,17
nYear总共涉案人数多少,17
nYear总共几个人,17
nYear总共几人,17
nYear总共涉案的有几个人,17
nYear总共多少人,17
nYear总共几个人被判,17
nYear总共多少人被判,17
nYear总共人数,17
nYear总共总人数,17
nYear总共几人被判,17
nYear总共几人涉案,17
nYear总共多少人涉案,17
nLocation总共多少人,17
nLocation总共涉案人数多少,17
nLocation总共几个人,17
nLocation总共几人,17
nLocation总共涉案的有几个人,17
nLocation总共多少人,17
nLocation总共几个人被判,17
nLocation总共多少人被判,17
nLocation总共人数,17
nLocation总共总人数,17
nLocation总共几人被判,17
nLocation总共几人涉案,17
nLocation总共多少人涉案,17
nYearnLocation总共多少人,17
nYearnLocation总共涉案人数多少,17
nYearnLocation总共几个人,17
nYearnLocation总共几人,17
nYearnLocation总共涉案的有几个人,17
nYearnLocation总共多少人,17
nYearnLocation总共几个人被判,17
nYearnLocation总共多少人被判,17
nYearnLocation总共人数,17
nYearnLocation总共总人数,17
nYearnLocation总共几人被判,17
nYearnLocation总共几人涉案,17
nYearnLocation总共多少人涉案,17
总的来说团队犯罪的比例,18
总的来说团队犯罪的比例是多少,18
总的来说团队犯罪的比例有多少,18
总共的团队犯罪比例是多少,18
总的来说团队犯案的比例,18
总的来说团队犯案的比例是多少,18
总的来说团队犯案的比例有多少,18
总共的团队犯案比例是多少,18
青年犯罪的比例是多少,19
青年犯罪比例,19
年轻人犯罪的比例,19
年轻人犯罪的比例是多少,19
青年犯罪的比例有多少,19
年轻人犯罪的比例有多少,19
少年犯罪的比例有多少,19
